Title,AD Related,ALG Related,Other Topics,Remarks
Finding trendsetters in information networks., , , , 
Towards social user profiling: unified and discriminative influence model for inferring home locations., , , , 
Event-based social networks: linking the online and offline social worlds., , , , 
Differential identifiability., , , , 
Anonymizing set-valued data by nonreciprocal recoding., , , , 
Adversarial support vector machine learning., , , , 
Web image prediction using multivariate point processes., , , , 
Transductive multi-label ensemble classification for protein function prediction., , , , 
Multi-domain active learning for text classification., , , , 
Modeling disease progression via fused sparse group lasso., , , , 
Open domain event extraction from twitter., , , , 
Stratified k-means clustering over a deep web data source., , , , 
Metro maps of science., , , , 
Active sampling for entity matching., , , , 
An integrated data mining approach to real-time clinical monitoring and deterioration warning., , , , 
Multi-source learning for joint analysis of incomplete multi-modality neuroimaging data., , , , 
RainMon: an integrated approach to mining bursty timeseries monitoring data., , , , 
SympGraph: a framework for mining clinical notes through symptom relation graphs., , , , 
Experiences and lessons in developing industry-strength machine learning and data mining software., , , , 
Joint optimization of bid and budget allocation in sponsored search., , , , 
The untold story of the clones: content-agnostic factors that impact YouTube video popularity., , , , 
SHALE: an efficient algorithm for allocation of guaranteed display advertising., , , , 
Factoring past exposure in display advertising targeting., , , , 
Online allocation of display ads with smooth delivery., , , , 
Streaming graph partitioning for large distributed graphs., , , , 
RolX: structural role extraction &#38; mining in large graphs., , , , 
Fast algorithms for maximal clique enumeration with limited memory., , , , 
Summarization-based mining bipartite graphs., , , , 
Mining coherent subgraphs in multi-layer graphs with edge labels., , , , 
Circle-based recommendation in online social networks., , , , 
Incorporating heterogeneous information for personalized tag recommendation in social tagging systems., , , , 
Cross-domain collaboration recommendation., , , , 
RecMax: exploiting recommender systems for fun and profit., , , , 
Learning personal + social latent factor model for social recommendation., , , , 
Two approaches to understanding when constraints help clustering., , , , 
Chromatic correlation clustering., , , , 
Locally-scaled spectral clustering using empty region graphs., , , , 
Active spectral clustering via iterative uncertainty reduction., , , , 
Integrating meta-path selection with user-guided object clustering in heterogeneous information networks., , , , 
Design principles of massive  robust prediction systems., , , , 
PatentMiner: topic-driven patent analysis and mining., , , , 
Storytelling in entity networks to support intelligence analysts., , , , 
A framework for robust discovery of entity synonyms., , , , 
SmartDispatch: enabling efficient ticket dispatch in an IT service environment., , , , 
Social media data analysis for revealing collective behaviors., , , , 
Information processing in social networks., , , , 
Understanding users' satisfaction for search engine evaluation.,[RANKING], , , 
Similarity search in real world networks., , , , 
Large-scale learning of word relatedness with constraints., , , , 
Latent association analysis of document pairs., , , , 
LIEGE: : link entities in web lists with knowledge base., , , , 
Automatic taxonomy construction from keywords., , , , 
An enhanced relevance criterion for more concise supervised pattern discovery., , , , 
Efficient frequent item counting in multi-core hardware., , , , 
On nested palindromes in clickstream data., , , , 
Mining discriminative components with low-rank and sparsity constraints for face recognition., , , , 
Fast algorithms for comprehensive n-point correlation estimates., , , , 
On &#34;one of the few&#34; objects., , , , 
,,, ,
