ICML2014, , ,Priority,Conference
Learning Mixtures of Linear Classifiers,  ,[CLASSIFICATION],2,ICML2014
Nonmyopic epsilon -Bayes-Optimal Active Learning of Gaussian Processes,  ,[CLASSIFICATION],3,ICML2014
Online Clustering of Bandits,[BANDIT],  ,3,ICML2014
Efficient Label Propagation,  ,[CLASSIFICATION],2,ICML2014
Coupled Group Lasso for Web-Scale CTR Prediction in Display Advertising,[CTR],  ,1,ICML2014
Reducing Dueling Bandits to Cardinal Bandits,[BANDIT],  ,3,ICML2014
Large-margin Weakly Supervised Dimensionality Reduction,  ,[CLUSTERING],3,ICML2014
Hard-Margin Active Linear Regression,  ,[REGRESSION],1,ICML2014
Maximum Margin Multiclass Nearest Neighbors,  ,[CLASSIFICATION],2,ICML2014
Sparse meta-Gaussian information bottleneck,  ,[SPARSE],3,ICML2014
Anti-differentiating approximation algorithms:A case study with min-cuts spectral and flow,  ,[CLASSIFICATION],2,ICML2014
Distributed Stochastic Gradient MCMC,  ,[REGRESSION],1,ICML2014
Nearest Neighbors Using Compact Sparse Codes,  ,[CLASSIFICATION],2,ICML2014
Optimal Mean Robust Principal Component Analysis,  ,[CLUSTERING],2,ICML2014
Outlier Path: A Homotopy Algorithm for Robust SVM,  ,[CLASSIFICATION],2,ICML2014
Standardized Mutual Information for Clustering Comparisons: One Step Further in Adjustment for Chance,  ,[CLUSTERING],3,ICML2014
Distributed Representations of Sentences and Documents,[ADTECH][RANKING],  ,2,ICML2014
Deep AutoRegressive Networks,  ,[REGRESSION],1,ICML2014
Learning Latent Variable Gaussian Graphical Models,  ,[CLUSTERING],3,ICML2014
One Practical Algorithm for Both Stochastic and Adversarial Bandits,[BANDIT],  ,3,ICML2014
Randomized Nonlinear Component Analysis,  ,[CLUSTERING],3,ICML2014
High Order Regularization for Semi-Supervised Learning of Structured Output Problems,  ,[CLASSIFICATION],2,ICML2014
Transductive Learning with Multi-class Volume Approximation,  ,[CLASSIFICATION],3,ICML2014
Effective Bayesian Modeling of Groups of Related Count Time Series,  ,[TIMESERIES],3,ICML2014
Probabilistic Partial Canonical Correlation Analysis,  ,[RECOMMENDATION],1,ICML2014
A Bayesian Framework for Online Classifier Ensemble,[ADTECH],[CLASSIFICATION],3,ICML2014
Learnability of the Superset Label Learning Problem,  ,[CLASSIFICATION],3,ICML2014
Taming the Monster: A Fast and Simple Algorithm for Contextual Bandits,[BANDIT],  ,3,ICML2014
Nonnegative Sparse PCA with Provable Guarantees,  ,[CLUSTERING],2,ICML2014
Active Learning of Parameterized Skills,  ,[CLASSIFICATION],3,ICML2014
Multi-period Trading Prediction Markets with Connections to Machine Learning,[CTR][CV],  ,1,ICML2014
A reversible infinite HMM using normalised random measures,  ,[TIMESERIES],3,ICML2014
ICML2013, , , ,
853  On autoencoder scoring ,[RANKING], ,2,ICML2013
210  Feature Selection in High-Dimensional Classification , ,[CLASSIFICATION],2,ICML2013
105  Markov Network Estimation From Multi-attribute Data , ,[TIMESERIES],3,ICML2013
118  Sparse Recovery under Linear Transformation , ,[REGRESSION],1,ICML2013
246  Noisy and Missing Data Regression: Distribution-Oblivious Support Recovery , ,[REGRESSION],1,ICML2013
1149  Learning Policies for Contextual Submodular Prediction , ,[CLASSIFICATION],3,ICML2013
755  Temporal Difference Methods for the Variance of the Reward To Go , ,[TIMESERIES],3,ICML2013
1073  Bayesian Learning of Recursively Factored Environments , ,[CLASSIFICATION],3,ICML2013
1062  Copy or Coincidence? A Model for Detecting Social Influence and Duplication Events ,[ADTECH], ,3,ICML2013
172  Dynamic Probabilistic Models for Latent Feature Propagation in Social Networks ,[ADTECH], ,3,ICML2013
828  Modeling Information Propagation with Survival Theory ,[ADTECH], ,3,ICML2013
403  Smooth Sparse Coding via Marginal Regression for Learning Sparse Representations , ,[REGRESSION],1,ICML2013
100  Modelling Sparse Dynamical Systems with Compressed Predictive State Representations , ,[SPARSE],3,ICML2013
617  A Practical Algorithm for Topic Modeling with Provable Guarantees ,[ADTECH], ,3,ICML2013
376  Online Latent Dirichlet Allocation with Infinite Vocabulary ,[ADTECH], ,3,ICML2013
61  Parallel Markov Chain Monte Carlo for Nonparametric Mixture Models , ,[TIMESERIES],3,ICML2013
801  Topic Model Diagnostics: Assessing Domain Relevance via Topical Alignment ,[ADTECH],,3,ICML2013
219  Parsing epileptic events using a Markov switching process model for correlated time series , ,[TIMESERIES],3,ICML2013
696  Simple Sparsification Improves Sparse Denoising Autoencoders in Denoising Highly Corrupted Images , ,[SPARSE],3,ICML2013
870  Sparse PCA through Low-rank Approximations , ,[SPARSE],2,ICML2013
876  Robust Sparse Regression under Adversarial Corruption , ,[SPARSE][REGRESSION],1,ICML2013
393  Mean Reversion with a Variance Threshold , ,[REGRESSION],1,ICML2013
1029  Gaussian Process Kernels for Pattern Discovery and Extrapolation , ,[CLASSIFICATION],3,ICML2013
780  Dynamic Covariance Models for Multivariate Financial Time Series , ,[TIMESERIES],3,ICML2013
300  Learning Sparse Penalties for Change-point Detection using Max Margin Interval Regression , ,[SPARSE][REGRESSION],1,ICML2013
529  Learning Connections in Financial Time Series , ,[TIMESERIES],3,ICML2013
1070  Topic Discovery through Data Dependent and Random Projections ,[ADTECH], ,3,ICML2013
821  Factorial Multi-Task Learning : A Bayesian Nonparametric Approach ,[ADTECH],[CLASSIFICATION],1,ICML2013
852  Latent Dirichlet Allocation Topic Model with Soft Assignment of Descriptors to Words ,[ADTECH], ,3,ICML2013
692  Efficient Multi-label Classification with Many Labels , ,[CLASSIFICATION],1,ICML2013
ICML2012, , , ,
Learning the Central Events and Participants in Unlabeled Text,[ADTECH], ,3,ICML2012
Exemplar-SVMs for Visual Ob ject Detection   Label Transfer and Image Retrieval, ,[CLASSIFICATION],3,ICML2012
TrueLabel + Confusions: A Spectrum of Probabilistic Models in Analyzing Multiple Ratings,[ADTECH], ,3,ICML2012
Robust Multiple Manifold Structure Learning, ,[CLUSTERING],3,ICML2012
Two Manifold Problems with Applications to Nonlinear System Identification, ,[CLUSTERING],3,ICML2012
On the Difficulty of Nearest Neighbor Search, ,[CLASSIFICATION],1,ICML2012
Estimation of Simultaneously Sparse and Low Rank Matrices, ,[SPARSE],2,ICML2012
Bayesian Efficient Multiple Kernel Learning, ,[CLASSIFICATION],3,ICML2012
Bayesian Nonexhaustive Learning for Online Discovery and Modeling of Emerging Classes, ,[CLASSIFICATION],3,ICML2012
Active Learning for Matching Problems, ,[CLASSIFICATION],3,ICML2012
Dimensionality Reduction by Local Discriminative Gaussians, ,[CLUSTERING],2,ICML2012
Learning Efficient Structured Sparse Models, ,[SPARSE],3,ICML2012
PAC Subset Selection in Stochastic Multi-armed Bandits,[BANDIT], ,3,ICML2012
Finding Botnets Using Minimal Graph Clusterings, ,[CLUSTERING],3,ICML2012
Learning the Experts for Online Sequence Prediction, ,[TIMESERIES],3,ICML2012
Efficient Active Algorithms for Hierarchical Clustering, ,[CLUSTERING],3,ICML2012
Copula Mixture Model for Dependency-seeking Clustering, ,[CLUSTERING],3,ICML2012
Adaptive Canonical Correlation Analysis Based On Matrix Manifolds, ,[CLUSTERING],3,ICML2012
Batch Active Learning via Coordinated Matching, ,[CLASSIFICATION],3,ICML2012
Sparse Support Vector Infinite Push, ,[SPARSE],3,ICML2012
Cross-Domain Multitask Learning with Latent Probit Models,[ADTECH], ,1,ICML2012
High-Dimensional  Covariance  Decomposition into Sparse Markov and Independence Domains, ,[TIMESERIES],3,ICML2012
Latent Collaborative Retrieval,[ADTECH], ,3,ICML2012
Convex Multitask Learning with Flexible Task Clusters,[ADTECH], ,1,ICML2012
Building high-level features using large scale unsupervised learning, ,[CLUSTERING],3,ICML2012
A Unified Robust Classification Model, ,[CLASSIFICATION],3,ICML2012
Manifold Relevance Determination, ,[CLUSTERING],3,ICML2012
Clustering to Maximize the Ratio of Split to Diameter, ,[CLUSTERING],1,ICML2012
A Graphical Model Formulation of Collaborative Filtering  Neighbourhood Methods with Fast Maximum Entropy Training,[ADTECH], ,3,ICML2012
Multi-level Lasso for Sparse Multi-task Regression,[ADTECH],[REGRESSION],1,ICML2012
Learning the Dependence Graph of Time Series with Latent Factors, ,[TIMESERIES],3,ICML2012
Predicting accurate probabilities with a ranking loss,[ADTECH][RANKING], ,2,ICML2012
